Capability,Domain,Operation,Record,Values,Documentation,URL,Designed for roles,Screens,Accessible from Entry point,Roles with access to screens
"Create, Read, Update, Delete | Part: Cost",OS,"Create,Read,Update,Delete",Part,Cost,,,"5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User","""
Catalog Management
""",Catalog Management,"2. ADMINISTRATOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,1. DEVELOPER,. NGE - Business User"
"Create, Read, Update, Delete | Part: Vendor price break",OS,"Create,Read,Update,Delete",Part,Vendor price break,,,"5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User","""
Catalog Management
""",Catalog Management,"2. ADMINISTRATOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,1. DEVELOPER,. NGE - Business User"
Read | Part: Alternate PNs,OS,Read,Part,Alternate PNs,,,"5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User","""
Catalog Management
""",Catalog Management,"2. ADMINISTRATOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,1. DEVELOPER,. NGE - Business User"
"Create, Read, Update, Delete | Tier-Part pricing: ",OS,"Create,Read,Update,Delete",Tier-Part pricing,,,,"4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,. NGE - Business User","""
Customer Tiers Modal
""","Customer Tiers,Catalog Management","2. ADMINISTRATOR,7. PRODUCT LINE DIRECTOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,1. DEVELOPER,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User,2. ADMINISTRATOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,1. DEVELOPER,. NGE - Business User"
"Read, Update | Tier-Part pricing: ",OS,"Read,Update",Tier-Part pricing,,,,"5. PRODUCT LINE,. NGE - Business User","""
Customer Tiers Modal
""","Customer Tiers,Catalog Management","2. ADMINISTRATOR,7. PRODUCT LINE DIRECTOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,1. DEVELOPER,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User,2. ADMINISTRATOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,1. DEVELOPER,. NGE - Business User"
Read | Tier-Part pricing: ,OS,Read,Tier-Part pricing,,,,"12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User","""
Customer Tiers Modal
""","Customer Tiers,Catalog Management","2. ADMINISTRATOR,7. PRODUCT LINE DIRECTOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,1. DEVELOPER,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User,2. ADMINISTRATOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,1. DEVELOPER,. NGE - Business User"
"Create, Read, Update, Delete | Tier-FSC pricing: ",OS,"Create,Read,Update,Delete",Tier-FSC pricing,,,,"4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,. NGE - Business User","""
Customer Tiers Modal
""","Customer Tiers,Catalog Management","2. ADMINISTRATOR,7. PRODUCT LINE DIRECTOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,1. DEVELOPER,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User,2. ADMINISTRATOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,1. DEVELOPER,. NGE - Business User"
"Read, Update | Tier-FSC pricing: ",OS,"Read,Update",Tier-FSC pricing,,,,"5. PRODUCT LINE,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User","""
Customer Tiers Modal
""","Customer Tiers,Catalog Management","2. ADMINISTRATOR,7. PRODUCT LINE DIRECTOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,1. DEVELOPER,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User,2. ADMINISTRATOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,1. DEVELOPER,. NGE - Business User"
Read | Tier-FSC pricing: ,OS,Read,Tier-FSC pricing,,,,"12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User","""
Customer Tiers Modal
""","Customer Tiers,Catalog Management","2. ADMINISTRATOR,7. PRODUCT LINE DIRECTOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,1. DEVELOPER,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User,2. ADMINISTRATOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,1. DEVELOPER,. NGE - Business User"
"Create, Read, Update | Tier- Customers: ",OS,"Create,Read,Update",Tier- Customers,,,,"4. PRODUCT LINE ANALYST,7. PRODUCT LINE DIRECTOR,. NGE - Business User","""
Customer Tiers - Customers 
""",Customer Tiers,"2. ADMINISTRATOR,7. PRODUCT LINE DIRECTOR,5. PRODUCT LINE,4. PRODUCT LINE ANALYST,1. DEVELOPER,12. SALES DIRECTOR,6. SALES MANAGER,3. SALES REP,. NGE - Business User"
